covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),HR_Lower_Bootstrap,HR_Upper_Bootstrap
PrognosticScore,0.937789677931936,2.5543292837265628,0.09681056270786101,0.748044461701472,1.1275348941624,2.1128641872065996,3.0880347772514294,0.0,9.686852877426645,3.429329683045905e-22,71.30449148122688,2.194201711024981,3.811247883910272
age,0.014216295801570739,1.0143178279009777,0.006208680938368484,0.002047504770868163,0.026385086832273315,1.0020496023401115,1.0267362549669,0.0,2.289744946260114,0.022036106259527618,5.503986864973645,1.002004911860715,1.028033407755847
gender_binary,0.16124611652478546,1.174974113776331,0.11904449399069096,-0.0720768042547637,0.3945690373043346,0.9304594298236996,1.4837446145352724,0.0,1.3545029351579636,0.17557597760513122,2.5098326267836404,0.9274238488541303,1.4993121727176373
stage_binary,-0.05711419362774651,0.9444862089016006,0.11629285190324028,-0.28504399501754774,0.17081560776205473,0.751981170166842,1.1862719895065963,0.0,-0.4911238540720243,0.6233388509874784,0.681911460142403,0.7674820796302565,1.1795807299708212
